% Model,lsa-v2.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 10 2018, 16:32"
% Dimension,1
% Nodes,1001
% Expressions,144
% Description,"Time, x-coordinate, Dependent variable c_m, Dependent variable c_m, first time derivative, Gradient of c_m, x component, Gradient of c_mx, x component, Dependent variable phi, Gradient of phi, x component, Gradient of phix, x component, , , , , , , , , , , , , , , "
% X,t @ t=0,x @ t=0,c_m @ t=0,c_mt @ t=0,c_mx @ t=0,c_mxx @ t=0,phi @ t=0,phix @ t=0,phixx @ t=0,z_p @ t=0,z_m @ t=0,D_p_0 @ t=0,D_m_0 @ t=0,rho_s @ t=0,n @ t=0,alpha @ t=0,gamma @ t=0,beta_m @ t=0,beta_D @ t=0,beta_v @ t=0,Da @ t=0,t_s @ t=0,J_applied @ t=0,xi_p @ t=0,t @ t=0.017453,x @ t=0.017453,c_m @ t=0.017453,c_mt @ t=0.017453,c_mx @ t=0.017453,c_mxx @ t=0.017453,phi @ t=0.017453,phix @ t=0.017453,phixx @ t=0.017453,z_p @ t=0.017453,z_m @ t=0.017453,D_p_0 @ t=0.017453,D_m_0 @ t=0.017453,rho_s @ t=0.017453,n @ t=0.017453,alpha @ t=0.017453,gamma @ t=0.017453,beta_m @ t=0.017453,beta_D @ t=0.017453,beta_v @ t=0.017453,Da @ t=0.017453,t_s @ t=0.017453,J_applied @ t=0.017453,xi_p @ t=0.017453,t @ t=0.034907,x @ t=0.034907,c_m @ t=0.034907,c_mt @ t=0.034907,c_mx @ t=0.034907,c_mxx @ t=0.034907,phi @ t=0.034907,phix @ t=0.034907,phixx @ t=0.034907,z_p @ t=0.034907,z_m @ t=0.034907,D_p_0 @ t=0.034907,D_m_0 @ t=0.034907,rho_s @ t=0.034907,n @ t=0.034907,alpha @ t=0.034907,gamma @ t=0.034907,beta_m @ t=0.034907,beta_D @ t=0.034907,beta_v @ t=0.034907,Da @ t=0.034907,t_s @ t=0.034907,J_applied @ t=0.034907,xi_p @ t=0.034907,t @ t=0.05236,x @ t=0.05236,c_m @ t=0.05236,c_mt @ t=0.05236,c_mx @ t=0.05236,c_mxx @ t=0.05236,phi @ t=0.05236,phix @ t=0.05236,phixx @ t=0.05236,z_p @ t=0.05236,z_m @ t=0.05236,D_p_0 @ t=0.05236,D_m_0 @ t=0.05236,rho_s @ t=0.05236,n @ t=0.05236,alpha @ t=0.05236,gamma @ t=0.05236,beta_m @ t=0.05236,beta_D @ t=0.05236,beta_v @ t=0.05236,Da @ t=0.05236,t_s @ t=0.05236,J_applied @ t=0.05236,xi_p @ t=0.05236,t @ t=0.069813,x @ t=0.069813,c_m @ t=0.069813,c_mt @ t=0.069813,c_mx @ t=0.069813,c_mxx @ t=0.069813,phi @ t=0.069813,phix @ t=0.069813,phixx @ t=0.069813,z_p @ t=0.069813,z_m @ t=0.069813,D_p_0 @ t=0.069813,D_m_0 @ t=0.069813,rho_s @ t=0.069813,n @ t=0.069813,alpha @ t=0.069813,gamma @ t=0.069813,beta_m @ t=0.069813,beta_D @ t=0.069813,beta_v @ t=0.069813,Da @ t=0.069813,t_s @ t=0.069813,J_applied @ t=0.069813,xi_p @ t=0.069813,t @ t=0.074176,x @ t=0.074176,c_m @ t=0.074176,c_mt @ t=0.074176,c_mx @ t=0.074176,c_mxx @ t=0.074176,phi @ t=0.074176,phix @ t=0.074176,phixx @ t=0.074176,z_p @ t=0.074176,z_m @ t=0.074176,D_p_0 @ t=0.074176,D_m_0 @ t=0.074176,rho_s @ t=0.074176,n @ t=0.074176,alpha @ t=0.074176,gamma @ t=0.074176,beta_m @ t=0.074176,beta_D @ t=0.074176,beta_v @ t=0.074176,Da @ t=0.074176,t_s @ t=0.074176,J_applied @ t=0.074176,xi_p @ t=0.074176
0,0,0,1.051248287087109,6104.478509118935,-2.5633486116905715,2779.83299865108,3.218105041345277,-2.9245908647244505,-3.3483156953006983,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0,1.506549492531104,12.98047507491135,-3.050644581645429,12.998331734910607,3.054848928445935,-2.024921853720116,-4.169184114784002,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0,1.694973414864756,9.191689670368016,-3.0449562586250067,9.131927099078894,2.995995732072937,-1.7964649531263603,-3.276662303134799,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0,1.838405862357417,7.406928886741664,-3.041490270329632,7.33930635266006,2.953913942071968,-1.6544193537538376,-2.776147983968258,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0,1.956279955377607,6.170434847017019,-3.039962453773569,6.107612139545381,2.9206169619140785,-1.5539501361004113,-2.4474108293652534,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0,1.9826921237304365,5.962105595622219,-3.0422369917739616,5.900491485372186,2.9125347584860823,-1.5343968568213313,-2.385831531137228,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
9.999999999999998E-4,0,9.999999999999998E-4,1.050074854974744,502.90926291491854,0.028180456881386817,1479.4704979481176,3.215178776322707,-2.927630049457548,-1.774928791448474,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,9.999999999999998E-4,1.5035053471153257,12.98073672137893,-3.037646236548426,12.998363483697176,3.052821922000158,-2.029091041628817,-4.168829674832523,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,9.999999999999998E-4,1.691933024569681,9.19186797647003,-3.0358243270010234,9.13195613771677,2.9941976287886587,-1.79974161691257,-3.277701781131327,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,9.999999999999998E-4,1.8353680417402642,7.407046733616986,-3.0341509612223945,7.339312112424523,2.9522581346442234,-1.657195502499917,-2.777443705126643,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,9.999999999999998E-4,1.9532430467299047,6.1702765842412015,-3.0338548396827036,6.107496361248195,2.919061788072564,-1.5563975473376104,-2.4487988566979766,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,9.999999999999998E-4,1.9796528369844058,5.960610279672141,-3.036336499291906,5.8997478927485645,2.9109991687134964,-1.5367826886651983,-2.3872205689549446,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.0019999999999999996,0,0.0019999999999999996,1.0500042855001697,33.877184622279565,0.0047895851417933955,94.91164676146582,3.2122513546332643,-2.9275024223302353,-0.10655123367905617,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.0019999999999999996,1.5004742000897564,12.980636963679727,-3.024647814593095,12.998226564377546,3.0507907467171202,-2.033259524446521,-4.168063505552709,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.0019999999999999996,1.6889017662397923,9.191911786412883,-3.026692332777543,9.131946302484721,2.992396247799636,-1.8030203611367597,-3.279759389348328,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.0019999999999999996,1.832337560440732,7.4070815506768115,-3.0268116378410923,7.339282299391925,2.9505995497712454,-1.6599742434575546,-2.7800247399136424,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.0019999999999999996,1.9502122455824626,6.170060060239916,-3.0277474551983232,6.107235516887158,2.917504165431378,-1.5588477350336234,-2.4515699185431004,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.0019999999999999996,1.9766194499882601,5.959092505424377,-3.030437492986607,5.898245657328516,2.909461191719714,-1.5391712988994186,-2.389994889497757,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.002999999999999999,0,0.002999999999999999,1.0500002377945437,2.0777158561308426,3.8939318710617954E-4,5.663910518866032,3.2093238664687007,-2.9274927425885835,-0.006101449020206928,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.002999999999999999,1.497456051317472,12.98017581853521,-3.0116497299778757,12.99768885038793,3.0487554033629887,-2.0374271838163622,-4.167182577773929,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.002999999999999999,1.685879639865252,9.191821101137572,-3.0175604163028993,9.131800656672567,2.990591587048255,-1.806301141631593,-3.281774182803929,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.002999999999999999,1.8293144184290095,7.407033335878511,-3.0194723856026258,7.3391698291525245,2.9489381848719924,-1.662755555050353,-2.782584883272648,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.002999999999999999,1.9471875516744408,6.169785198029459,-3.0216403608403652,6.106916073244065,2.9159440912194587,-1.5613006888033851,-2.454330933280289,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.002999999999999999,1.9735919612397894,5.957551304133796,-3.0245400039426613,5.896713153459132,2.9079208247304162,-1.5415626796964261,-2.392761640250683,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.003999999999999998,0,0.003999999999999998,1.050000012900785,0.12066867106792352,2.60900753801252E-5,0.32323815068230033,3.206396374607216,-2.9274921137912315,-3.386000171303749E-4,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.003999999999999998,1.4944509002607547,12.979353333796913,-2.9986523834610352,12.996750449761748,3.046715892818687,-2.0415939047875327,-4.166186562739313,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.003999999999999998,1.6828666453004142,9.191595927242496,-3.008428713372382,9.131519216112792,2.9887836445197076,-1.809583915469375,-3.2837459426373243,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.003999999999999998,1.826298615592628,7.406902088956272,-3.012133287160964,7.338974703568965,2.9472740373863155,-1.6655394163119581,-2.7851240085437894,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.003999999999999998,1.944168964686404,6.169451922897599,-3.015533615232357,6.1065379739739,2.9143815626757927,-1.5637563985330871,-2.4570818301290274,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.003999999999999998,1.970570369206513,5.955985742472761,-3.0186440625975592,5.895150011405349,2.9063780649788504,-1.543956823436929,-2.3955207522958517,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.0049999999999999975,0,0.0049999999999999975,1.0500000006880843,0.006762550951026871,1.595481649019348E-6,0.01789600821211934,3.2034688825448385,-2.927492075996497,-1.8370337784290314E-5,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.0049999999999999975,1.4914587459811954,12.9781695884287,-2.9856561756652127,12.995411532465369,3.0446722160802295,-2.0457595721291,-4.165075133554637,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.0049999999999999975,1.679862782263839,9.191236276985999,-2.999297359778666,9.13110199989751,2.986972418242221,-1.812868639505723,-3.2856744388118386,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.0049999999999999975,1.8232901517364604,7.406687811421628,-3.0047944251748504,7.338696924969554,2.945607104775074,-1.6683258061705146,-2.787642005831003,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.0049999999999999975,1.9411564842402549,6.1690601623749926,-3.0094272770655834,6.106101156678051,2.912816577049478,-1.5662148540991438,-2.45982254948467,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.0049999999999999975,1.967554672325313,5.954394920631649,-3.0127496997893104,5.893555850256234,2.904832909705899,-1.5463537224695756,-2.398272166028619,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.005999999999999997,0,0.005999999999999997,1.050000000036215,3.695669457681686E-4,9.249333743355237E-8,9.692898020148277E-4,3.200541390471733,-2.927492073829171,-9.778887033462524E-7,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.005999999999999997,1.4884795871398628,12.976624692480366,-2.9726615070110256,12.993672316428274,3.0426243742590424,-2.049924070248835,-4.163847977295518,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.005999999999999997,1.6768680503383089,9.190742168276872,-2.9901664912827073,9.13054903736338,2.9851579062872964,-1.8161552703497819,-3.287559438496828,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.005999999999999997,1.820289026582728,7.406390506562919,-2.997455882291547,7.338336502201855,2.9439373845202716,-1.6711147034363876,-2.79013873077929,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.005999999999999997,1.9381501098991767,6.168609846206594,-3.0033214050893093,6.1056055636145175,2.911249131599791,-1.5686760452779254,-2.4625530214980245,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.005999999999999997,1.964544869002055,5.952777970544877,-3.006856946715857,5.891930289566517,2.9032853561601417,-1.5487533690504733,-2.401015813462436,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.006999999999999996,0,0.006999999999999996,1.0500000000018859,1.9821607311240507E-5,5.176730155653786E-9,5.1633454859256744E-5,3.1976138983980613,-2.9274920737107095,-4.842877388000488E-8,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.006999999999999996,1.48551342199752,12.974718787054414,-2.959668777685806,12.991533069405705,3.0405723685822745,-2.054087283286208,-4.162504804320633,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.006999999999999996,1.673882448970859,9.190113624679702,-2.9810362436188598,9.129860359244049,2.9833401067699197,-1.8194437644094705,-3.289400717243552,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.006999999999999996,1.8172952397710047,7.406010179443904,-2.9901177411551316,7.337893440388143,2.9422648741251787,-1.6739060867557782,-2.7926140632480383,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.006999999999999996,1.9351498411675783,6.1681009063233745,-2.997216058104982,6.105051136109978,2.909679223596252,-1.5711399617987354,-2.4652731884270906,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.006999999999999996,1.9615409576112002,5.9511340542497715,-3.0009658349798656,5.890272930730134,2.9017354015979198,-1.5511557553913917,-2.403751641511917,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.007999999999999995,0,0.007999999999999995,1.0500000000000975,1.0459005379023564E-6,2.8330759960226715E-10,2.71480530500412E-6,3.1946864063243603,-2.927492073703206,9.313225746154785E-10,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.007999999999999995,1.4825602484148976,12.972452044263557,-2.9466783875726605,12.988994122017175,3.0385162003930994,-2.058249095066003,-4.161045323126018,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.007999999999999995,1.6709059774728083,9.189350675407459,-2.971906752482937,9.129036004655063,2.9815190178488,-1.822734077835321,-3.291198060847819,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.007999999999999995,1.8143087908582285,7.405546836903354,-2.98278008439911,7.337367753498256,2.9405895711144505,-1.6766999346996272,-2.795067892409861,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.007999999999999995,1.932155677491037,6.167533276815277,-2.9911112949757808,6.104437823407352,2.9081068503186978,-1.573606593311979,-2.4679829766973853,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.007999999999999995,1.958542936495418,5.94946236235421,-2.9950763965700844,5.888583378866315,2.900183043283409,-1.5535608736322501,-2.406479576602578,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
0.008999999999999994,0,0.008999999999999994,1.0500000000000052,5.520306074488374E-8,1.5006662579253316E-11,1.4062970876693726E-7,3.1917589142506575,-2.9274920737016146,-1.862645149230957E-9,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.017453292519943295,0.008999999999999994,1.4796200638530213,12.969824667181372,-2.9336907361944213,12.986055851448327,3.036455871150993,-2.062409389145614,-4.159469263628125,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.03490658503988659,0.008999999999999994,1.6679386350198007,9.18845335531832,-2.962778153533236,9.12807601923123,2.979694637726585,-1.8260261665980124,-3.29295124206692,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.05235987755982988,0.008999999999999994,1.8113296793187086,7.405000487556019,-2.975442994641867,7.336759448517114,2.938911473034261,-1.6794962256801682,-2.797500079497695,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.06981317007977318,0.008999999999999994,1.9291676182562427,6.166906893904381,-2.98500717460945,6.1037655752152205,2.9065320090573374,-1.576075929407125,-2.4706823229789734,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998,0.074176493209759,0.008999999999999994,1.9555508039651857,5.947762112608855,-2.9891886638810092,5.886861234437674,2.8986282784886703,-1.5559687158424822,-2.409199551679194,1,-1,1,1,0.05,1,0.5,8.743377543355229E-5,1.299812734082397E-4,0.25,5.199250936329588E-4,10,0.08726646259971647,1.5,0.009999999999999998
